sid,dt
2KKJ_A,2.6347572803497314
6A5I_A,2.636962413787842
3EG1_B,2.6036243438720703
1KKL_I,2.6888692378997803
3N29_A,3.5529792308807373
4XL5_C,3.197840452194214
2EGE_A,2.6935319900512695
3U1B_A,3.4339704513549805
6PNW_A,2.6368160247802734
6R3C_A,2.9242312908172607
2C4F_T,2.6777963638305664
3SR3_B,3.4078142642974854
4JJC_A,2.6283814907073975
4JJD_A,2.6561696529388428
5USD_D,3.420687437057495
5NP3_A,2.6342785358428955
1ABO_A,2.628678560256958
3TYX_B,3.4240078926086426
3EG1_A,2.6297430992126465
5CH4_Y,3.735525131225586
1SZ2_B,3.3824896812438965
1Q18_B,3.425271987915039
4J9D_A,2.6389613151550293
6CWY_D,3.8951714038848877
1JRH_I,2.7265186309814453
3T5M_B,3.435767889022827
5IEB_A,2.838097095489502
1Q18_A,3.4960055351257324
1WWA_X,2.830954074859619
6H8C_A,2.8750267028808594
4J9H_A,2.7634835243225098
1WWW_X,2.835437774658203
5LV6_B,2.5894923210144043
3E18_B,3.478681802749634
4J9E_A,2.6397576332092285
2EC9_T,2.684929132461548
4H1H_A,3.4015612602233887
6FGN_A,2.81950306892395
3EG2_A,2.6587700843811035
4CRP_A,2.7831335067749023
5FD8_A,3.4302115440368652
1KKM_H,2.7214715480804443
5GAE_g,3.6374385356903076
6GQ9_A,2.9308485984802246
4JVO_B,3.4404349327087402
2E89_A,3.4126944541931152
1P4I_L,2.776268720626831
3EG3_A,2.6416282653808594
3GBQ_A,2.6421778202056885
2E89_B,3.429417848587036
4MJX_A,3.440614938735962
5AWW_G,2.681812286376953
5CH4_G,2.6797540187835693
6AEX_U,2.9470503330230713
5NP2_A,2.6417977809906006
5OAZ_A,2.6419730186462402
2DSQ_G,2.664594888687134
3VPZ_A,3.4004342555999756
1KKM_I,2.7174861431121826
1WY5_A,3.3953042030334473
3EG0_A,2.6352903842926025
2E21_B,3.3931376934051514
1GBR_A,2.672024965286255
1S4G_A,2.6094553470611572
2SNI_I,2.6418468952178955
2CI2_I,2.6436190605163574
1GBQ_A,2.630739450454712
4J9B_A,2.641526937484741
5AWW_Y,3.710336923599243
1SSU_A,2.5991134643554688
4INJ_A,3.3924083709716797
4MI1_B,3.430263042449951
3SR3_A,3.445420980453491
4GBQ_A,2.6495513916015625
6PNW_B,2.6508419513702393
5NP5_A,2.6428065299987793
4JJB_A,2.640746831893921
4MJX_B,3.4656755924224854
1DAN_U,2.8088927268981934
6FIC_T,3.199885368347168
1WWW_Y,2.756749391555786
6ITC_Y,3.6789603233337402
5IEJ_A,2.7939703464508057
4JVO_A,3.454578161239624
3HXJ_A,3.3701882362365723
3TYX_A,3.447814702987671
1DAN_T,2.6910579204559326
3N29_B,3.5380876064300537
1SZ2_A,3.388929843902588
1KKL_H,2.716153383255005
4E5S_B,3.4184532165527344
4J9F_A,2.64689302444458
3EGU_A,2.6325933933258057
1ABQ_A,2.6247262954711914
1P4B_L,2.78175950050354
1HIA_I,2.6072354316711426
1JU5_C,2.6369400024414062
3GJZ_B,3.415630578994751
5K99_A,3.436919927597046
2JW4_A,2.6714773178100586
2GBQ_A,2.6216137409210205
4H1H_B,3.3580923080444336
3GJZ_A,3.440276861190796
1WY5_B,3.3972818851470947
4J9G_A,2.627203941345215
6FGS_A,2.8388724327087402
2C4F_U,2.8033199310302734
1KBH_B,2.635422945022583
5O2M_A,2.6970372200012207
1KKM_J,2.7040860652923584
2L14_A,2.640245199203491
6P6B_A,2.7242228984832764
4INJ_B,3.436673641204834
4MO3_M,2.924239158630371
3HXJ_B,3.319138526916504
2E21_A,3.4127511978149414
2C52_A,2.6215834617614746
5LV6_A,2.595139265060425
3E18_A,3.4641358852386475
2EC9_U,2.804063081741333
1ZH8_A,3.385190486907959
4J9I_A,2.6260464191436768
5EUL_Y,3.542412281036377
3U1B_B,3.4289629459381104
2ZJS_Y,3.6660945415496826
2CSI_A,2.666579008102417
2JQ8_A,2.5974740982055664
2O88_A,2.6357622146606445
5USD_A,3.3999242782592773
1BBZ_A,2.6304304599761963
1KKL_J,2.7098605632781982
5FD8_B,3.40110445022583
4J9C_A,2.623098134994507
1ZH8_B,3.379868268966675
2CR3_A,2.7416772842407227
1P1A_A,2.7197461128234863
1AWO_A,2.630807876586914
6KBR_C,2.6244821548461914
4E5S_A,3.399477243423462
4MI1_A,3.4097390174865723
3T5M_A,3.428269147872925
4KI5_M,2.919908046722412
