method,sid,sequence_identity,sequence_similarity,len
baseline,1ABO_A,1.0,1.0,58
carbonara_maxseqid,1ABO_A,0.6379310344827587,0.8275862068965517,58
carbonara_minseqid,1ABO_A,0.27586206896551724,0.7241379310344828,58
carbonara_minseqsim,1ABO_A,0.27586206896551724,0.5517241379310345,58
esm,1ABO_A,0.5517241379310345,0.7413793103448276,58
mpnn,1ABO_A,0.5344827586206896,0.6551724137931034,58
baseline,1ABQ_A,1.0,1.0,56
carbonara_maxseqid,1ABQ_A,0.48214285714285715,0.6964285714285714,56
carbonara_minseqid,1ABQ_A,0.14285714285714285,0.5892857142857143,56
carbonara_minseqsim,1ABQ_A,0.14285714285714285,0.35714285714285715,56
esm,1ABQ_A,0.4107142857142857,0.5714285714285714,56
mpnn,1ABQ_A,0.48214285714285715,0.6071428571428571,56
baseline,1AWO_A,1.0,1.0,57
carbonara_maxseqid,1AWO_A,0.3157894736842105,0.5614035087719298,57
carbonara_minseqid,1AWO_A,0.07017543859649122,0.40350877192982454,57
carbonara_minseqsim,1AWO_A,0.07017543859649122,0.08771929824561403,57
esm,1AWO_A,0.24561403508771928,0.5263157894736842,57
mpnn,1AWO_A,0.2807017543859649,0.49122807017543857,57
baseline,1BBZ_A,1.0,1.0,58
carbonara_maxseqid,1BBZ_A,0.5172413793103449,0.7931034482758621,58
carbonara_minseqid,1BBZ_A,0.25862068965517243,0.7586206896551724,58
carbonara_minseqsim,1BBZ_A,0.25862068965517243,0.5689655172413793,58
esm,1BBZ_A,0.5862068965517241,0.7241379310344828,58
mpnn,1BBZ_A,0.5517241379310345,0.6896551724137931,58
baseline,1DAN_T,1.0,1.0,75
carbonara_maxseqid,1DAN_T,0.5066666666666667,0.5866666666666667,75
carbonara_minseqid,1DAN_T,0.08,0.41333333333333333,75
carbonara_minseqsim,1DAN_T,0.08,0.26666666666666666,75
esm,1DAN_T,0.5066666666666667,0.6266666666666667,75
mpnn,1DAN_T,0.48,0.6133333333333333,75
baseline,1DAN_U,1.0,1.0,116
carbonara_maxseqid,1DAN_U,0.5,0.6982758620689655,116
carbonara_minseqid,1DAN_U,0.19827586206896552,0.5862068965517241,116
carbonara_minseqsim,1DAN_U,0.19827586206896552,0.3448275862068966,116
esm,1DAN_U,0.5086206896551724,0.6379310344827587,116
mpnn,1DAN_U,0.46551724137931033,0.6120689655172413,116
baseline,1GBQ_A,1.0,1.0,57
carbonara_maxseqid,1GBQ_A,0.47368421052631576,0.6842105263157895,57
carbonara_minseqid,1GBQ_A,0.12280701754385964,0.543859649122807,57
carbonara_minseqsim,1GBQ_A,0.12280701754385964,0.2631578947368421,57
esm,1GBQ_A,0.38596491228070173,0.7017543859649122,57
mpnn,1GBQ_A,0.42105263157894735,0.6842105263157895,57
baseline,1GBR_A,1.0,1.0,74
carbonara_maxseqid,1GBR_A,0.2972972972972973,0.5,74
carbonara_minseqid,1GBR_A,0.05405405405405406,0.36486486486486486,74
carbonara_minseqsim,1GBR_A,0.05405405405405406,0.12162162162162163,74
esm,1GBR_A,0.35135135135135137,0.6081081081081081,74
mpnn,1GBR_A,0.3108108108108108,0.5405405405405406,74
baseline,1HIA_I,1.0,1.0,48
carbonara_maxseqid,1HIA_I,0.5625,0.6041666666666666,48
carbonara_minseqid,1HIA_I,0.3333333333333333,0.5208333333333334,48
carbonara_minseqsim,1HIA_I,0.3333333333333333,0.3541666666666667,48
esm,1HIA_I,0.5208333333333334,0.6458333333333334,48
mpnn,1HIA_I,0.4791666666666667,0.5416666666666666,48
baseline,1JRH_I,1.0,1.0,95
carbonara_maxseqid,1JRH_I,0.42105263157894735,0.631578947368421,95
carbonara_minseqid,1JRH_I,0.12631578947368421,0.5473684210526316,95
carbonara_minseqsim,1JRH_I,0.12631578947368421,0.29473684210526313,95
