sid,dt
2KKJ_A,3.406108856201172
6A5I_A,2.721029281616211
3EG1_B,2.681774139404297
1KKL_I,2.7488207817077637
3N29_A,3.6045191287994385
4XL5_C,3.190657615661621
2EGE_A,2.7450883388519287
3U1B_A,3.5325639247894287
6PNW_A,2.6574268341064453
6R3C_A,3.0078964233398438
2C4F_T,2.7308096885681152
3SR3_B,3.464157819747925
4JJC_A,2.730013608932495
4JJD_A,2.692411184310913
5USD_D,3.486673593521118
5NP3_A,2.674147129058838
1ABO_A,2.7583720684051514
3TYX_B,3.482538938522339
3EG1_A,2.66064715385437
5CH4_Y,3.7865207195281982
1SZ2_B,3.4183921813964844
1Q18_B,3.4402682781219482
4J9D_A,2.6949377059936523
6CWY_D,3.929858684539795
1JRH_I,2.7869160175323486
3T5M_B,3.5375308990478516
5IEB_A,2.874694585800171
1Q18_A,3.465087652206421
1WWA_X,2.8561410903930664
6H8C_A,2.908771276473999
4J9H_A,2.6553292274475098
1WWW_X,2.76590633392334
5LV6_B,2.6486752033233643
3E18_B,3.4758617877960205
4J9E_A,2.6540989875793457
2EC9_T,2.730828285217285
4H1H_A,3.492377996444702
6FGN_A,2.88405442237854
3EG2_A,2.730536937713623
4CRP_A,2.9254038333892822
5FD8_A,3.472327709197998
1KKM_H,2.8561551570892334
5GAE_g,3.708303689956665
6GQ9_A,2.978320837020874
4JVO_B,3.4908463954925537
2E89_A,3.4824092388153076
1P4I_L,2.826946258544922
3EG3_A,2.670654773712158
3GBQ_A,2.8166751861572266
2E89_B,3.439239263534546
4MJX_A,3.4547765254974365
5AWW_G,2.691356897354126
5CH4_G,2.842912435531616
6AEX_U,3.0261213779449463
5NP2_A,2.685167074203491
5OAZ_A,2.800691604614258
2DSQ_G,2.7717573642730713
3VPZ_A,3.485707998275757
1KKM_I,2.802835702896118
1WY5_A,3.4955904483795166
3EG0_A,2.7619590759277344
2E21_B,3.5626142024993896
1GBR_A,2.773023843765259
1S4G_A,2.7305967807769775
2SNI_I,2.6876840591430664
2CI2_I,2.665775775909424
1GBQ_A,2.643588066101074
4J9B_A,2.6191883087158203
5AWW_Y,4.058760643005371
1SSU_A,2.6383354663848877
4INJ_A,3.4069325923919678
4MI1_B,3.4350218772888184
3SR3_A,3.429210662841797
4GBQ_A,2.6681277751922607
6PNW_B,2.643659830093384
5NP5_A,2.644378185272217
4JJB_A,2.6470730304718018
4MJX_B,3.446648120880127
1DAN_U,2.8026046752929688
6FIC_T,3.175205945968628
1WWW_Y,2.768969774246216
6ITC_Y,3.7165565490722656
5IEJ_A,2.7997424602508545
4JVO_A,3.448747158050537
3HXJ_A,3.371290683746338
3TYX_A,3.4226255416870117
1DAN_T,2.6812658309936523
3N29_B,3.548222780227661
1SZ2_A,3.3970634937286377
1KKL_H,2.7234227657318115
4E5S_B,3.4243760108947754
4J9F_A,2.6582300662994385
3EGU_A,2.6255011558532715
1ABQ_A,2.635760545730591
1P4B_L,2.77669095993042
1HIA_I,2.597944974899292
1JU5_C,2.6529455184936523
3GJZ_B,3.4192442893981934
5K99_A,3.4260053634643555
2JW4_A,2.665393352508545
2GBQ_A,2.6256320476531982
4H1H_B,3.3598504066467285
3GJZ_A,3.443469524383545
1WY5_B,3.3904314041137695
4J9G_A,2.6323153972625732
6FGS_A,2.8244712352752686
2C4F_U,2.780470132827759
1KBH_B,2.6862125396728516
5O2M_A,2.701770782470703
1KKM_J,2.7105257511138916
2L14_A,2.6276144981384277
6P6B_A,2.729214668273926
4INJ_B,3.4600470066070557
4MO3_M,3.0027990341186523
3HXJ_B,3.3759231567382812
2E21_A,3.4065465927124023
2C52_A,2.621354579925537
5LV6_A,2.6152195930480957
3E18_A,3.4921727180480957
2EC9_U,2.81650972366333
1ZH8_A,3.40067982673645
4J9I_A,2.6486783027648926
5EUL_Y,3.577629804611206
3U1B_B,3.463008165359497
2ZJS_Y,3.6700479984283447
2CSI_A,2.6976401805877686
2JQ8_A,2.595966339111328
2O88_A,2.6574325561523438
5USD_A,3.4040839672088623
1BBZ_A,2.637085199356079
1KKL_J,2.6856863498687744
5FD8_B,3.416816473007202
4J9C_A,2.657658576965332
1ZH8_B,3.3769538402557373
2CR3_A,2.7568085193634033
1P1A_A,2.747929334640503
1AWO_A,2.6411352157592773
6KBR_C,2.642765760421753
4E5S_A,3.420076370239258
4MI1_A,3.4645745754241943
3T5M_A,3.450742483139038
4KI5_M,2.938878297805786
