method,sid,tmscore
carbonara_maxseqid,1ABO_A,0.9391
carbonara_minseqid,1ABO_A,0.9033
carbonara_minseqsim,1ABO_A,0.9125
carbonara_maxseqid,1ABQ_A,0.9192
carbonara_minseqid,1ABQ_A,0.8755
carbonara_minseqsim,1ABQ_A,0.5765
carbonara_maxseqid,1AWO_A,0.7735
carbonara_minseqid,1AWO_A,0.3873
carbonara_minseqsim,1AWO_A,0.3607
carbonara_maxseqid,1BBZ_A,0.9359
carbonara_minseqid,1BBZ_A,0.9275
carbonara_minseqsim,1BBZ_A,0.2476
carbonara_maxseqid,1DAN_T,0.0
carbonara_minseqid,1DAN_T,0.0
carbonara_minseqsim,1DAN_T,0.0
carbonara_maxseqid,1DAN_U,0.0
carbonara_minseqid,1DAN_U,0.0
carbonara_minseqsim,1DAN_U,0.0
carbonara_maxseqid,1GBQ_A,0.9032
carbonara_minseqid,1GBQ_A,0.7461
carbonara_minseqsim,1GBQ_A,0.6618
carbonara_maxseqid,1GBR_A,0.7488
carbonara_minseqid,1GBR_A,0.5037
carbonara_minseqsim,1GBR_A,0.2163
carbonara_maxseqid,1HIA_I,0.0
carbonara_minseqid,1HIA_I,0.0
carbonara_minseqsim,1HIA_I,0.0
carbonara_maxseqid,1JRH_I,0.0
carbonara_minseqid,1JRH_I,0.0
carbonara_minseqsim,1JRH_I,0.0
carbonara_maxseqid,1JU5_C,0.0
carbonara_minseqid,1JU5_C,0.0
carbonara_minseqsim,1JU5_C,0.0
carbonara_maxseqid,1KBH_B,0.097
carbonara_minseqid,1KBH_B,0.0911
carbonara_minseqsim,1KBH_B,0.1005
carbonara_maxseqid,1KKL_H,0.0
carbonara_minseqid,1KKL_H,0.0
carbonara_minseqsim,1KKL_H,0.0
carbonara_maxseqid,1KKL_I,0.0
carbonara_minseqid,1KKL_I,0.0
carbonara_minseqsim,1KKL_I,0.0
carbonara_maxseqid,1KKL_J,0.0
carbonara_minseqid,1KKL_J,0.0
carbonara_minseqsim,1KKL_J,0.0
carbonara_maxseqid,1KKM_H,0.0
carbonara_minseqid,1KKM_H,0.0
carbonara_minseqsim,1KKM_H,0.0
carbonara_maxseqid,1KKM_I,0.0
carbonara_minseqid,1KKM_I,0.0
carbonara_minseqsim,1KKM_I,0.0
carbonara_maxseqid,1KKM_J,0.0
carbonara_minseqid,1KKM_J,0.0
carbonara_minseqsim,1KKM_J,0.0
carbonara_maxseqid,1P1A_A,0.832
carbonara_minseqid,1P1A_A,0.7246
carbonara_minseqsim,1P1A_A,0.3945
carbonara_maxseqid,1P4B_L,0.9692
carbonara_minseqid,1P4B_L,0.9644
carbonara_minseqsim,1P4B_L,0.9427
carbonara_maxseqid,1P4I_L,0.9524
carbonara_minseqid,1P4I_L,0.9323
carbonara_minseqsim,1P4I_L,0.9
carbonara_maxseqid,1Q18_A,0.5244
carbonara_minseqid,1Q18_A,0.5261
carbonara_minseqsim,1Q18_A,0.4922
carbonara_maxseqid,1Q18_B,0.0
carbonara_minseqid,1Q18_B,0.0
carbonara_minseqsim,1Q18_B,0.0
carbonara_maxseqid,1S4G_A,0.178
carbonara_minseqid,1S4G_A,0.1769
carbonara_minseqsim,1S4G_A,0.2348
carbonara_maxseqid,1SSU_A,0.5652
carbonara_minseqid,1SSU_A,0.1863
carbonara_minseqsim,1SSU_A,0.1817
carbonara_maxseqid,1SZ2_A,0.5165
carbonara_minseqid,1SZ2_A,0.5236
carbonara_minseqsim,1SZ2_A,0.484
carbonara_maxseqid,1SZ2_B,0.0
carbonara_minseqid,1SZ2_B,0.0
carbonara_minseqsim,1SZ2_B,0.0
carbonara_maxseqid,1WWA_X,0.7596
carbonara_minseqid,1WWA_X,0.7317
carbonara_minseqsim,1WWA_X,0.7238
carbonara_maxseqid,1WWW_X,0.0
carbonara_minseqid,1WWW_X,0.0
carbonara_minseqsim,1WWW_X,0.0
carbonara_maxseqid,1WWW_Y,0.0
carbonara_minseqid,1WWW_Y,0.0
carbonara_minseqsim,1WWW_Y,0.0
carbonara_maxseqid,1WY5_A,0.9289
carbonara_minseqid,1WY5_A,0.9445
carbonara_minseqsim,1WY5_A,0.5595
carbonara_maxseqid,1WY5_B,0.0
carbonara_minseqid,1WY5_B,0.0
carbonara_minseqsim,1WY5_B,0.0
carbonara_maxseqid,1ZH8_A,0.5567
carbonara_minseqid,1ZH8_A,0.5547
carbonara_minseqsim,1ZH8_A,0.5589
carbonara_maxseqid,1ZH8_B,0.0
carbonara_minseqid,1ZH8_B,0.0
carbonara_minseqsim,1ZH8_B,0.0
carbonara_maxseqid,2C4F_T,0.0
carbonara_minseqid,2C4F_T,0.0
carbonara_minseqsim,2C4F_T,0.0
carbonara_maxseqid,2C4F_U,0.0
carbonara_minseqid,2C4F_U,0.0
carbonara_minseqsim,2C4F_U,0.0
carbonara_maxseqid,2C52_A,0.652
carbonara_minseqid,2C52_A,0.6978
carbonara_minseqsim,2C52_A,0.5259
carbonara_maxseqid,2CI2_I,0.9263
carbonara_minseqid,2CI2_I,0.8584
carbonara_minseqsim,2CI2_I,0.5739
carbonara_maxseqid,2CR3_A,0.8452
carbonara_minseqid,2CR3_A,0.7981
carbonara_minseqsim,2CR3_A,0.767
carbonara_maxseqid,2CSI_A,0.8221
carbonara_minseqid,2CSI_A,0.7888
carbonara_minseqsim,2CSI_A,0.7353
carbonara_maxseqid,2DSQ_G,0.0
carbonara_minseqid,2DSQ_G,0.0
carbonara_minseqsim,2DSQ_G,0.0
carbonara_maxseqid,2E21_A,0.953
carbonara_minseqid,2E21_A,0.9339
carbonara_minseqsim,2E21_A,0.4232
carbonara_maxseqid,2E21_B,0.0
carbonara_minseqid,2E21_B,0.0
carbonara_minseqsim,2E21_B,0.0
carbonara_maxseqid,2E89_A,0.9113
carbonara_minseqid,2E89_A,0.9094
carbonara_minseqsim,2E89_A,0.6807
carbonara_maxseqid,2E89_B,0.0
carbonara_minseqid,2E89_B,0.0
carbonara_minseqsim,2E89_B,0.0
carbonara_maxseqid,2EC9_T,0.0
carbonara_minseqid,2EC9_T,0.0
carbonara_minseqsim,2EC9_T,0.0
carbonara_maxseqid,2EC9_U,0.0
carbonara_minseqid,2EC9_U,0.0
carbonara_minseqsim,2EC9_U,0.0
carbonara_maxseqid,2EGE_A,0.7578
carbonara_minseqid,2EGE_A,0.7616
carbonara_minseqsim,2EGE_A,0.4428
carbonara_maxseqid,2GBQ_A,0.8695
carbonara_minseqid,2GBQ_A,0.855
carbonara_minseqsim,2GBQ_A,0.5808
carbonara_maxseqid,2JQ8_A,0.605
carbonara_minseqid,2JQ8_A,0.2237
carbonara_minseqsim,2JQ8_A,0.2976
carbonara_maxseqid,2JW4_A,0.7774
carbonara_minseqid,2JW4_A,0.6774
carbonara_minseqsim,2JW4_A,0.7196
carbonara_maxseqid,2KKJ_A,0.6702
carbonara_minseqid,2KKJ_A,0.4182
carbonara_minseqsim,2KKJ_A,0.2693
carbonara_maxseqid,2L14_A,0.542
carbonara_minseqid,2L14_A,0.4193
carbonara_minseqsim,2L14_A,0.3901
carbonara_maxseqid,2O88_A,0.9508
carbonara_minseqid,2O88_A,0.9372
carbonara_minseqsim,2O88_A,0.9219
carbonara_maxseqid,2SNI_I,0.0
carbonara_minseqid,2SNI_I,0.0
