method,sid,tmscore
carbonara_maxseqid,1DAN_T,0.2813
carbonara_minseqid,1DAN_T,0.261
carbonara_minseqsim,1DAN_T,0.4241
esm,1DAN_T,0.2352
mpnn,1DAN_T,0.4954
carbonara_maxseqid,1DAN_U,0.3193
carbonara_minseqid,1DAN_U,0.2238
carbonara_minseqsim,1DAN_U,0.2603
esm,1DAN_U,0.3447
mpnn,1DAN_U,0.3504
carbonara_maxseqid,1Q18_A,0.183
carbonara_minseqid,1Q18_A,0.189
carbonara_minseqsim,1Q18_A,0.1823
esm,1Q18_A,0.1781
mpnn,1Q18_A,0.2218
carbonara_maxseqid,1Q18_B,0.1462
carbonara_minseqid,1Q18_B,0.1681
carbonara_minseqsim,1Q18_B,0.1796
esm,1Q18_B,0.1754
mpnn,1Q18_B,0.1841
carbonara_maxseqid,1SZ2_A,0.1784
carbonara_minseqid,1SZ2_A,0.173
carbonara_minseqsim,1SZ2_A,0.1138
esm,1SZ2_A,0.1606
mpnn,1SZ2_A,0.2015
carbonara_maxseqid,1SZ2_B,0.1812
carbonara_minseqid,1SZ2_B,0.1516
carbonara_minseqsim,1SZ2_B,0.1561
esm,1SZ2_B,0.1835
mpnn,1SZ2_B,0.1908
carbonara_maxseqid,1WWW_X,0.476
carbonara_minseqid,1WWW_X,0.4034
carbonara_minseqsim,1WWW_X,0.4577
esm,1WWW_X,0.3848
mpnn,1WWW_X,0.4855
carbonara_maxseqid,1WWW_Y,0.415
carbonara_minseqid,1WWW_Y,0.4124
carbonara_minseqsim,1WWW_Y,0.3516
esm,1WWW_Y,0.4587
mpnn,1WWW_Y,0.4821
carbonara_maxseqid,1WY5_A,0.1764
carbonara_minseqid,1WY5_A,0.2166
carbonara_minseqsim,1WY5_A,0.1793
esm,1WY5_A,0.1555
mpnn,1WY5_A,0.2107
carbonara_maxseqid,1WY5_B,0.1579
carbonara_minseqid,1WY5_B,0.1849
carbonara_minseqsim,1WY5_B,0.1596
esm,1WY5_B,0.1892
mpnn,1WY5_B,0.2484
carbonara_maxseqid,1ZH8_A,0.2101
carbonara_minseqid,1ZH8_A,0.1775
carbonara_minseqsim,1ZH8_A,0.1652
esm,1ZH8_A,0.1619
mpnn,1ZH8_A,0.2224
carbonara_maxseqid,1ZH8_B,0.1445
carbonara_minseqid,1ZH8_B,0.1573
carbonara_minseqsim,1ZH8_B,0.2053
esm,1ZH8_B,0.1627
mpnn,1ZH8_B,0.1681
carbonara_maxseqid,2C4F_T,0.3968
carbonara_minseqid,2C4F_T,0.3435
carbonara_minseqsim,2C4F_T,0.3699
esm,2C4F_T,0.3047
mpnn,2C4F_T,0.4146
carbonara_maxseqid,2C4F_U,0.4435
carbonara_minseqid,2C4F_U,0.2506
carbonara_minseqsim,2C4F_U,0.2576
esm,2C4F_U,0.5462
mpnn,2C4F_U,0.5501
carbonara_maxseqid,2E21_A,0.2352
carbonara_minseqid,2E21_A,0.1971
carbonara_minseqsim,2E21_A,0.1679
esm,2E21_A,0.2332
mpnn,2E21_A,0.2492
carbonara_maxseqid,2E21_B,0.1735
carbonara_minseqid,2E21_B,0.1771
carbonara_minseqsim,2E21_B,0.1783
esm,2E21_B,0.1763
mpnn,2E21_B,0.2439
carbonara_maxseqid,2E89_A,0.2417
carbonara_minseqid,2E89_A,0.1829
carbonara_minseqsim,2E89_A,0.1476
esm,2E89_A,0.2536
mpnn,2E89_A,0.2173
carbonara_maxseqid,2E89_B,0.2073
carbonara_minseqid,2E89_B,0.1796
carbonara_minseqsim,2E89_B,0.1743
esm,2E89_B,0.1832
mpnn,2E89_B,0.2338
carbonara_maxseqid,2EC9_T,0.3738
carbonara_minseqid,2EC9_T,0.4012
carbonara_minseqsim,2EC9_T,0.2652
esm,2EC9_T,0.2718
mpnn,2EC9_T,0.7292
