method,sid,sequence_identity,sequence_similarity,len
carbonara_maxseqid,1DAN_T,0.64,0.7333333333333333,75
carbonara_minseqid,1DAN_T,0.14666666666666667,0.5333333333333333,75
carbonara_minseqsim,1DAN_T,0.14666666666666667,0.37333333333333335,75
esm,1DAN_T,0.5866666666666667,0.6933333333333334,75
mpnn,1DAN_T,0.6,0.68,75
carbonara_maxseqid,1DAN_U,0.5603448275862069,0.7413793103448276,116
carbonara_minseqid,1DAN_U,0.20689655172413793,0.6293103448275862,116
carbonara_minseqsim,1DAN_U,0.20689655172413793,0.3793103448275862,116
esm,1DAN_U,0.5344827586206896,0.6551724137931034,116
mpnn,1DAN_U,0.5,0.6810344827586207,116
carbonara_maxseqid,1WWW_X,0.5247524752475248,0.6732673267326733,101
carbonara_minseqid,1WWW_X,0.2376237623762376,0.5742574257425742,101
carbonara_minseqsim,1WWW_X,0.2376237623762376,0.3465346534653465,101
esm,1WWW_X,0.5346534653465347,0.6633663366336634,101
mpnn,1WWW_X,0.46534653465346537,0.6138613861386139,101
carbonara_maxseqid,1WWW_Y,0.4752475247524752,0.6138613861386139,101
carbonara_minseqid,1WWW_Y,0.24752475247524752,0.5544554455445545,101
carbonara_minseqsim,1WWW_Y,0.24752475247524752,0.36633663366336633,101
esm,1WWW_Y,0.5148514851485149,0.6435643564356436,101
mpnn,1WWW_Y,0.49504950495049505,0.6039603960396039,101
carbonara_maxseqid,1WY5_A,0.5401929260450161,0.7266881028938906,311
carbonara_minseqid,1WY5_A,0.1864951768488746,0.6141479099678456,311
carbonara_minseqsim,1WY5_A,0.1864951768488746,0.37942122186495175,311
esm,1WY5_A,0.5916398713826366,0.77491961414791,311
mpnn,1WY5_A,0.4919614147909968,0.6688102893890675,311
carbonara_maxseqid,1WY5_B,0.5594855305466238,0.7138263665594855,311
carbonara_minseqid,1WY5_B,0.19614147909967847,0.6205787781350482,311
carbonara_minseqsim,1WY5_B,0.19614147909967847,0.38263665594855306,311
esm,1WY5_B,0.5852090032154341,0.7684887459807074,311
mpnn,1WY5_B,0.4919614147909968,0.6720257234726688,311
carbonara_maxseqid,2C4F_T,0.68,0.8133333333333334,75
carbonara_minseqid,2C4F_T,0.21333333333333335,0.6133333333333333,75
carbonara_minseqsim,2C4F_T,0.21333333333333335,0.4266666666666667,75
esm,2C4F_T,0.56,0.7333333333333333,75
mpnn,2C4F_T,0.6266666666666667,0.72,75
carbonara_maxseqid,2C4F_U,0.5862068965517241,0.7413793103448276,116
carbonara_minseqid,2C4F_U,0.2672413793103448,0.603448275862069,116
carbonara_minseqsim,2C4F_U,0.2672413793103448,0.4224137931034483,116
esm,2C4F_U,0.5,0.6379310344827587,116
